ts,signal_direction,max_prob,ret_3m,ret_9m,ret_15m,aligned_move_3m,aligned_move_9m,aligned_move_15m
2025-01-02 09:36:00+05:30,UP,0.96690917,0.0008151299070478197,0.0013034250134305334,-0.00022995861723437087,0.0008151299070478197,0.0013034250134305334,-0.00022995861723437087
2025-01-02 09:54:00+05:30,UP,0.85784423,0.0013072407045010355,0.0010283757338552428,0.001149706457925636,0.0013072407045010355,0.0010283757338552428,0.001149706457925636
2025-01-02 10:23:00+05:30,DOWN,0.56155115,0.0002987516865802482,-0.0008161974182386077,-0.0010026731441759734,-0.0002987516865802482,0.0008161974182386077,0.0010026731441759734
2025-01-02 10:30:00+05:30,UP,0.66617787,-0.0005733541707364435,-0.00012697792537605,-0.0004141433873802909,-0.0005733541707364435,-0.00012697792537605,-0.0004141433873802909
2025-01-02 10:42:00+05:30,UP,0.86184084,-0.0006845188398918369,0.000842710069652994,0.0013309546059525105,-0.0006845188398918369,0.000842710069652994,0.0013309546059525105
2025-01-02 10:49:00+05:30,DOWN,0.6882615,0.00018345579983804084,0.0003044585614332688,-3.6105662734048515e-05,-0.00018345579983804084,-0.0003044585614332688,3.6105662734048515e-05
2025-01-02 11:08:00+05:30,DOWN,0.84951437,0.0010080851749023183,0.0006997067477298282,0.0008051019063837262,-0.0010080851749023183,-0.0006997067477298282,-0.0008051019063837262
2025-01-02 11:49:00+05:30,UP,0.8989643,-0.0001328261198658634,-0.00020802914361338722,-0.00019630919186055035,-0.0001328261198658634,-0.00020802914361338722,-0.00019630919186055035
2025-01-02 12:00:00+05:30,DOWN,0.7935753,-0.00020987915841386024,-0.0009263968434174007,-0.0019445548072576906,0.00020987915841386024,0.0009263968434174007,0.0019445548072576906
2025-01-02 12:04:00+05:30,UP,0.8992617,-0.00037511209404367105,-0.00027351923524021826,-0.0012738181526901027,-0.00037511209404367105,-0.00027351923524021826,-0.0012738181526901027
2025-01-02 12:18:00+05:30,UP,0.9757047,0.00026511160611646,0.0020856750709980333,0.0038671076715080187,0.00026511160611646,0.0020856750709980333,0.0038671076715080187
