Metric,All Signals,High Confidence (>0.9)
Signals analyzed,2831.0,1126.0
Directional accuracy (3m),44.71918050158955,67.85079928952042
Average aligned move (3m %),-0.0015563391415412578,0.025375995269970923
Max aligned move (3m %),0.33053440190030997,0.2954604481345
